criterion "Is_bastille"	"who" "Medic2" required
Rule jaeger_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_jaeger
    response jaeger_CHATTER_HOLD_POSITION
}

Response wolfe_CHATTER_HOLD_POSITION
{
	speak "wolfe.HoldPosition0"
	speak "wolfe.HoldPosition1"
	speak "wolfe.HoldPosition2"
}

Rule wolfe_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_wolfe
    response wolfe_CHATTER_HOLD_POSITION
}

Response vegas_CHATTER_HOLD_POSITION
{
	speak "vegas.HoldPosition0"
	speak "vegas.HoldPosition1"
	speak "vegas.HoldPosition2"
}

Rule vegas_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_vegas
    response vegas_CHATTER_HOLD_POSITION
}

Response sarge_CHATTER_HOLD_POSITION
{
	speak "sarge.HoldPosition0"
	speak "sarge.HoldPosition1"
}

Rule sarge_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_sarge
    response sarge_CHATTER_HOLD_POSITION
}

Response bastille_CHATTER_HOLD_POSITION
{
	speak "bastille.HoldPosition0"
	speak "bastille.HoldPosition1"
}

Rule bastille_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_bastille
    response bastille_CHATTER_HOLD_POSITION
}

Response wildcat_CHATTER_HOLD_POSITION
{
	speak "wildcat.HoldPosition0"
	speak "wildcat.HoldPosition1"
	speak "wildcat.HoldPosition2"
}

Rule wildcat_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_wildcat
    response wildcat_CHATTER_HOLD_POSITION
}

Response faith_CHATTER_FIRING_AT_ALIEN
{
	speak "faith.FiringAtAlien0"
	speak "faith.FiringAtAlien1"
	speak "faith.FiringAtAlien2"
	speak "faith.FiringAtAlien3"
	speak "faith.FiringAtAlien4"
}

Rule faith_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_faith
    response faith_CHATTER_FIRING_AT_ALIEN
}

Response crash_CHATTER_FIRING_AT_ALIEN
{
	speak "crash.FiringAtAlien0"
	speak "crash.FiringAtAlien1"
	speak "crash.FiringAtAlien2"
	speak "crash.FiringAtAlien3"
	speak "crash.FiringAtAlien4"
	speak "crash.FiringAtAlien5"
	speak "crash.FiringAtAlien6"
	speak "crash.FiringAtAlien7"
}

Rule crash_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_crash
    response crash_CHATTER_FIRING_AT_ALIEN
}

Response jaeger_CHATTER_FIRING_AT_ALIEN
{
	speak "jaeger.FiringAtAlien0"
	speak "jaeger.FiringAtAlien1"
	speak "jaeger.FiringAtAlien2"
	speak "jaeger.FiringAtAlien3"
}

Rule jaeger_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_jaeger
    response jaeger_CHATTER_FIRING_AT_ALIEN
}

Response wolfe_CHATTER_FIRING_AT_ALIEN
{
	speak "wolfe.FiringAtAlien0"
	speak "wolfe.FiringAtAlien1"
	speak "wolfe.FiringAtAlien2"
}

Rule wolfe_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_wolfe
    response wolfe_CHATTER_FIRING_AT_ALIEN
}

Response vegas_CHATTER_FIRING_AT_ALIEN
{
	speak "vegas.FiringAtAlien0"
	speak "vegas.FiringAtAlien1"
	speak "vegas.FiringAtAlien2"
	speak "vegas.FiringAtAlien3"
}

Rule vegas_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_vegas
    response vegas_CHATTER_FIRING_AT_ALIEN
}

Response sarge_CHATTER_FIRING_AT_ALIEN
{
	speak "sarge.FiringAtAlien0"
	speak "sarge.FiringAtAlien1"
	speak "sarge.FiringAtAlien2"
	speak "sarge.FiringAtAlien3"
}

Rule sarge_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_sarge
    response sarge_CHATTER_FIRING_AT_ALIEN
}

Response bastille_CHATTER_FIRING_AT_ALIEN
{
	speak "bastille.FiringAtAlien0"
	speak "bastille.FiringAtAlien1"
	speak "bastille.FiringAtAlien2"
	speak "bastille.FiringAtAlien3"
	speak "bastille.FiringAtAlien4"
	speak "bastille.FiringAtAlien5"
	speak "bastille.FiringAtAlien6"
	speak "bastille.FiringAtAlien7"
}

Rule bastille_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_bastille
    response bastille_CHATTER_FIRING_AT_ALIEN
}

Response wildcat_CHATTER_FIRING_AT_ALIEN
{
	speak "wildcat.FiringAtAlien0"
	speak "wildcat.FiringAtAlien1"
}

Rule wildcat_CHATTER_FIRING_AT_ALIEN
{
    criteria ConceptCHATTER_FIRING_AT_ALIEN Is_wildcat
    response wildcat_CHATTER_FIRING_AT_ALIEN
}

Response faith_CHATTER_GOT_REAR
{
	speak "faith.GotRear0"
	speak "faith.GotRear1"
	speak "faith.GotRear2"
}

Rule faith_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_faith
    response faith_CHATTER_GOT_REAR
}

Response crash_CHATTER_GOT_REAR
{
	speak "crash.GotRear0"
	speak "crash.GotRear1"
}

Rule crash_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_crash
    response crash_CHATTER_GOT_REAR
}

Response jaeger_CHATTER_GOT_REAR
{
	speak "jaeger.GotRear0"
	speak "jaeger.GotRear1"
	speak "jaeger.GotRear2"
}

Rule jaeger_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_jaeger
    response jaeger_CHATTER_GOT_REAR
}

Response wolfe_CHATTER_GOT_REAR
{
	speak "wolfe.GotRear0"
	speak "wolfe.GotRear1"
	speak "wolfe.GotRear2"
}

Rule wolfe_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_wolfe
    response wolfe_CHATTER_GOT_REAR
}

Response vegas_CHATTER_GOT_REAR
{
	speak "vegas.GotRear0"
	speak "vegas.GotRear1"
}

Rule vegas_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_vegas
    response vegas_CHATTER_GOT_REAR
}

Response sarge_CHATTER_GOT_REAR
{
	speak "sarge.GotRear0"
	speak "sarge.GotRear1"
	speak "sarge.GotRear2"
}

Rule sarge_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_sarge
    response sarge_CHATTER_GOT_REAR
}

Response bastille_CHATTER_GOT_REAR
{
	speak "bastille.GotRear0"
	speak "bastille.GotRear1"
	speak "bastille.GotRear2"
}

Rule bastille_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_bastille
    response bastille_CHATTER_GOT_REAR
}

Response wildcat_CHATTER_GOT_REAR
{
	speak "wildcat.GotRear0"
	speak "wildcat.GotRear1"
	speak "wildcat.GotRear2"
}

Rule wildcat_CHATTER_GOT_REAR
{
    criteria ConceptCHATTER_GOT_REAR Is_wildcat
    response wildcat_CHATTER_GOT_REAR
}

Response faith_CHATTER_MEDIC
{
	speak "faith.Medic0"
}

Rule faith_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_faith
    response faith_CHATTER_MEDIC
}

Response crash_CHATTER_MEDIC
{
	speak "crash.Medic0"
}

Rule crash_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_crash
    response crash_CHATTER_MEDIC
}

Response jaeger_CHATTER_MEDIC
{
	speak "jaeger.Medic0"
	speak "jaeger.Medic1"
}

Rule jaeger_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_jaeger
    response jaeger_CHATTER_MEDIC
}

Response wolfe_CHATTER_MEDIC
{
	speak "wolfe.Medic0"
}

Rule wolfe_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_wolfe
    response wolfe_CHATTER_MEDIC
}

Response vegas_CHATTER_MEDIC
{
	speak "vegas.Medic0"
	speak "vegas.Medic1"
}

Rule vegas_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_vegas
    response vegas_CHATTER_MEDIC
}

Response sarge_CHATTER_MEDIC
{
	speak "sarge.Medic0"
}

Rule sarge_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_sarge
    response sarge_CHATTER_MEDIC
}

Response bastille_CHATTER_MEDIC
{
	speak "bastille.Medic0"
	speak "bastille.Medic1"
	speak "bastille.Medic2"
}

Rule bastille_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_bastille
    response bastille_CHATTER_MEDIC
}

Response wildcat_CHATTER_MEDIC
{
	speak "wildcat.Medic0"
}

Rule wildcat_CHATTER_MEDIC
{
    criteria ConceptCHATTER_MEDIC Is_wildcat
    response wildcat_CHATTER_MEDIC
}

Response faith_CHATTER_SENTRY
{
	speak "faith.SentryInPlace0"
	speak "faith.SentryInPlace1"
	speak "faith.SentryInPlace2"
}

Rule faith_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_faith
    response faith_CHATTER_SENTRY
}

Response crash_CHATTER_SENTRY
{
	speak "crash.SentryInPlace0"
	speak "crash.SentryInPlace1"
	speak "crash.SentryInPlace2"
	speak "crash.SentryInPlace3"
	speak "crash.SentryInPlace4"
	speak "crash.SentryInPlace5"
}

Rule crash_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_crash
    response crash_CHATTER_SENTRY
}

Response jaeger_CHATTER_SENTRY
{
	speak "jaeger.SentryInPlace0"
	speak "jaeger.SentryInPlace1"
	speak "jaeger.SentryInPlace2"
}

Rule jaeger_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_jaeger
    response jaeger_CHATTER_SENTRY
}

Response wolfe_CHATTER_SENTRY
{
	speak "wolfe.SentryInPlace0"
	speak "wolfe.SentryInPlace1"
}

Rule wolfe_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_wolfe
    response wolfe_CHATTER_SENTRY
}

Response vegas_CHATTER_SENTRY
{
	speak "vegas.SentryInPlace0"
	speak "vegas.SentryInPlace1"
	speak "vegas.SentryInPlace2"
	speak "vegas.SentryInPlace3"
	speak "vegas.SentryInPlace4"
	speak "vegas.SentryInPlace5"
}

Rule vegas_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_vegas
    response vegas_CHATTER_SENTRY
}

Response sarge_CHATTER_SENTRY
{
	speak "sarge.SentryInPlace0"
	speak "sarge.SentryInPlace1"
	speak "sarge.SentryInPlace2"
}

Rule sarge_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_sarge
    response sarge_CHATTER_SENTRY
}

Response bastille_CHATTER_SENTRY
{
	speak "bastille.SentryInPlace0"
	speak "bastille.SentryInPlace1"
	speak "bastille.SentryInPlace2"
}

Rule bastille_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_bastille
    response bastille_CHATTER_SENTRY
}

Response wildcat_CHATTER_SENTRY
{
	speak "wildcat.SentryInPlace0"
	speak "wildcat.SentryInPlace1"
	speak "wildcat.SentryInPlace2"
}

Rule wildcat_CHATTER_SENTRY
{
    criteria ConceptCHATTER_SENTRY Is_wildcat
    response wildcat_CHATTER_SENTRY
}

Response vegas_CHATTER_SYNUP_SPOTTED
{
	speak "vegas.SynUpSpotted0"
}

Rule vegas_CHATTER_SYNUP_SPOTTED
{
    criteria ConceptCHATTER_SYNUP_SPOTTED Is_vegas
    response vegas_CHATTER_SYNUP_SPOTTED
}

Response crash_CHATTER_SYNUP_SPOTTED
{
	speak "crash.SynUpSpotted0"
}

Rule crash_CHATTER_SYNUP_SPOTTED
{
    criteria ConceptCHATTER_SYNUP_SPOTTED Is_crash
    response crash_CHATTER_SYNUP_SPOTTED
}

Response faith_CHATTER_BASTILLE
{
	speak "faith.CallBastille0"
	speak "faith.CallBastille1"
}

Rule faith_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_faith
    response faith_CHATTER_BASTILLE
}

Response crash_CHATTER_BASTILLE
{
	speak "crash.CallBastille0"
	speak "crash.CallBastille1"
}

Rule crash_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_crash
    response crash_CHATTER_BASTILLE
}

Response jaeger_CHATTER_BASTILLE
{
	speak "jaeger.CallBastille0"
	speak "jaeger.CallBastille1"
}

Rule jaeger_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_jaeger
    response jaeger_CHATTER_BASTILLE
}

Response wolfe_CHATTER_BASTILLE
{
	speak "wolfe.CallBastille0"
	speak "wolfe.CallBastille1"
	speak "wolfe.CallBastille2"
	speak "wolfe.CallBastille3"
	speak "wolfe.CallBastille4"
}

Rule wolfe_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_wolfe
    response wolfe_CHATTER_BASTILLE
}

Response vegas_CHATTER_BASTILLE
{
	speak "vegas.CallBastille0"
	speak "vegas.CallBastille1"
}

Rule vegas_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_vegas
    response vegas_CHATTER_BASTILLE
}

Response sarge_CHATTER_BASTILLE
{
	speak "sarge.CallBastille0"
	speak "sarge.CallBastille1"
}

Rule sarge_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_sarge
    response sarge_CHATTER_BASTILLE
}

Response wildcat_CHATTER_BASTILLE
{
	speak "wildcat.CallBastille0"
	speak "wildcat.CallBastille1"
}

Rule wildcat_CHATTER_BASTILLE
{
    criteria ConceptCHATTER_BASTILLE Is_wildcat
    response wildcat_CHATTER_BASTILLE
}

Response bastille_CHATTER_MEDS_LOW
{
	speak "bastille.LowOnMeds0"
}

Rule bastille_CHATTER_MEDS_LOW
{
    criteria ConceptCHATTER_MEDS_LOW Is_bastille
    response bastille_CHATTER_MEDS_LOW
}

Response faith_CHATTER_QUESTION
{
	speak "faith.Question0"
	speak "faith.Question1"
	speak "faith.Question2"
	speak "faith.Question3"
}

Rule faith_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_faith
    response faith_CHATTER_QUESTION
}

Response crash_CHATTER_QUESTION
{
	speak "crash.Question0"
	speak "crash.Question1"
	speak "crash.Question2"
}

Rule crash_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_crash
    response crash_CHATTER_QUESTION
}

Response jaeger_CHATTER_QUESTION
{
	speak "jaeger.Question0"
	speak "jaeger.Question1"
	speak "jaeger.Question2"
	speak "jaeger.Question3"
}

Rule jaeger_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_jaeger
    response jaeger_CHATTER_QUESTION
}

Response wolfe_CHATTER_QUESTION
{
	speak "wolfe.Question0"
	speak "wolfe.Question1"
	speak "wolfe.Question2"
	speak "wolfe.Question3"
	speak "wolfe.Question4"
	speak "wolfe.Question5"
	speak "wolfe.Question6"
	speak "wolfe.Question7"
	speak "wolfe.Question8"
	speak "wolfe.Question9"
}

Rule wolfe_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_wolfe
    response wolfe_CHATTER_QUESTION
}

Response vegas_CHATTER_QUESTION
{
	speak "vegas.Question0"
	speak "vegas.Question1"
	speak "vegas.Question2"
	speak "vegas.Question3"
}

Rule vegas_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_vegas
    response vegas_CHATTER_QUESTION
}

Response sarge_CHATTER_QUESTION
{
	speak "sarge.Question0"
	speak "sarge.Question1"
	speak "sarge.Question2"
	speak "sarge.Question3"
}

Rule sarge_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_sarge
    response sarge_CHATTER_QUESTION
}

Response bastille_CHATTER_QUESTION
{
	speak "bastille.Question0"
	speak "bastille.Question1"
	speak "bastille.Question2"
}

Rule bastille_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_bastille
    response bastille_CHATTER_QUESTION
}

Response wildcat_CHATTER_QUESTION
{
	speak "wildcat.Question0"
	speak "wildcat.Question1"
	speak "wildcat.Question2"
	speak "wildcat.Question3"
	speak "wildcat.Question4"
}

Rule wildcat_CHATTER_QUESTION
{
    criteria ConceptCHATTER_QUESTION Is_wildcat
    response wildcat_CHATTER_QUESTION
}

Response faith_CHATTER_HOLDING_WEST
{
	speak "faith.HoldingWest0"
	speak "faith.HoldingWest1"
	speak "faith.HoldingWest2"
}

Rule faith_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_faith
    response faith_CHATTER_HOLDING_WEST
}

Response crash_CHATTER_HOLDING_WEST
{
	speak "crash.HoldingWest0"
	speak "crash.HoldingWest1"
	speak "crash.HoldingWest2"
	speak "crash.HoldingWest3"
}

Rule crash_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_crash
    response crash_CHATTER_HOLDING_WEST
}

Response jaeger_CHATTER_HOLDING_WEST
{
	speak "jaeger.HoldingWest0"
	speak "jaeger.HoldingWest1"
}

Rule jaeger_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_jaeger
    response jaeger_CHATTER_HOLDING_WEST
}

Response wolfe_CHATTER_HOLDING_WEST
{
	speak "wolfe.HoldingWest0"
	speak "wolfe.HoldingWest1"
	speak "wolfe.HoldingWest2"
	speak "wolfe.HoldingWest3"
	speak "wolfe.HoldingWest4"
	speak "wolfe.HoldingWest5"
}

Rule wolfe_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_wolfe
    response wolfe_CHATTER_HOLDING_WEST
}

Response vegas_CHATTER_HOLDING_WEST
{
	speak "vegas.HoldingWest0"
	speak "vegas.HoldingWest1"
	speak "vegas.HoldingWest2"
}

Rule vegas_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_vegas
    response vegas_CHATTER_HOLDING_WEST
}

Response sarge_CHATTER_HOLDING_WEST
{
	speak "sarge.HoldingWest0"
	speak "sarge.HoldingWest1"
	speak "sarge.HoldingWest2"
	speak "sarge.HoldingWest3"
}

Rule sarge_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_sarge
    response sarge_CHATTER_HOLDING_WEST
}

Response bastille_CHATTER_HOLDING_WEST
{
	speak "bastille.HoldingWest0"
	speak "bastille.HoldingWest1"
	speak "bastille.HoldingWest2"
	speak "bastille.HoldingWest3"
}

Rule bastille_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_bastille
    response bastille_CHATTER_HOLDING_WEST
}

Response wildcat_CHATTER_HOLDING_WEST
{
	speak "wildcat.HoldingWest0"
	speak "wildcat.HoldingWest1"
	speak "wildcat.HoldingWest2"
}

Rule wildcat_CHATTER_HOLDING_WEST
{
    criteria ConceptCHATTER_HOLDING_WEST Is_wildcat
    response wildcat_CHATTER_HOLDING_WEST
}

Response crash_CHATTER_COMPLIMENTS
{
	speak "crash.Compliments0"
	speak "crash.Compliments1"
	speak "crash.Compliments2"
}

Rule crash_CHATTER_COMPLIMENTS
{
    criteria ConceptCHATTER_COMPLIMENTS Is_crash
    response crash_CHATTER_COMPLIMENTS
}

Response vegas_CHATTER_COMPLIMENTS
{
	speak "vegas.Compliments0"
	speak "vegas.Compliments1"
	speak "vegas.Compliments2"
}

Rule vegas_CHATTER_COMPLIMENTS
{
    criteria ConceptCHATTER_COMPLIMENTS Is_vegas
    response vegas_CHATTER_COMPLIMENTS
}

Response sarge_CHATTER_COMPLIMENTS
{
	speak "sarge.Compliments0"
	speak "sarge.Compliments1"
	speak "sarge.Compliments2"
	speak "sarge.Compliments3"
}

Rule sarge_CHATTER_COMPLIMENTS
{
    criteria ConceptCHATTER_COMPLIMENTS Is_sarge
    response sarge_CHATTER_COMPLIMENTS
}

Response bastille_CHATTER_COMPLIMENTS
{
	speak "bastille.Compliments0"
	speak "bastille.Compliments1"
	speak "bastille.Compliments2"
}

Rule bastille_CHATTER_COMPLIMENTS
{
    criteria ConceptCHATTER_COMPLIMENTS Is_bastille
    response bastille_CHATTER_COMPLIMENTS
}

Response wildcat_CHATTER_COMPLIMENTS
{
	speak "wildcat.Compliments0"
}

Rule wildcat_CHATTER_COMPLIMENTS
{
    criteria ConceptCHATTER_COMPLIMENTS Is_wildcat
    response wildcat_CHATTER_COMPLIMENTS
}

Response faith_CHATTER_GOT_POINT
{
	speak "faith.GotPoint0"
}

Rule faith_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_faith
    response faith_CHATTER_GOT_POINT
}

Response crash_CHATTER_GOT_POINT
{
	speak "crash.GotPoint0"
}

Rule crash_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_crash
    response crash_CHATTER_GOT_POINT
}

Response jaeger_CHATTER_GOT_POINT
{
	speak "jaeger.GotPoint0"
	speak "jaeger.GotPoint1"
}

Rule jaeger_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_jaeger
    response jaeger_CHATTER_GOT_POINT
}

Response wolfe_CHATTER_GOT_POINT
{
	speak "wolfe.GotPoint0"
	speak "wolfe.GotPoint1"
	speak "wolfe.GotPoint2"
}

Rule wolfe_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_wolfe
    response wolfe_CHATTER_GOT_POINT
}

Response vegas_CHATTER_GOT_POINT
{
	speak "vegas.GotPoint0"
	speak "vegas.GotPoint1"
}

Rule vegas_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_vegas
    response vegas_CHATTER_GOT_POINT
}

Response sarge_CHATTER_GOT_POINT
{
	speak "sarge.GotPoint0"
	speak "sarge.GotPoint1"
}

Rule sarge_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_sarge
    response sarge_CHATTER_GOT_POINT
}

Response bastille_CHATTER_GOT_POINT
{
	speak "bastille.GotPoint0"
	speak "bastille.GotPoint1"
}

Rule bastille_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_bastille
    response bastille_CHATTER_GOT_POINT
}

Response wildcat_CHATTER_GOT_POINT
{
	speak "wildcat.GotPoint0"
	speak "wildcat.GotPoint1"
}

Rule wildcat_CHATTER_GOT_POINT
{
    criteria ConceptCHATTER_GOT_POINT Is_wildcat
    response wildcat_CHATTER_GOT_POINT
}

Response faith_CHATTER_GRENADE
{
	speak "faith.Grenade0"
	speak "faith.Grenade1"
}

Rule faith_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_faith
    response faith_CHATTER_GRENADE
}

Response crash_CHATTER_GRENADE
{
	speak "crash.Grenade0"
	speak "crash.Grenade1"
	speak "crash.Grenade2"
	speak "crash.Grenade3"
}

Rule crash_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_crash
    response crash_CHATTER_GRENADE
}

Response jaeger_CHATTER_GRENADE
{
	speak "jaeger.Grenade0"
	speak "jaeger.Grenade1"
}

Rule jaeger_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_jaeger
    response jaeger_CHATTER_GRENADE
}

Response wolfe_CHATTER_GRENADE
{
	speak "wolfe.Grenade0"
	speak "wolfe.Grenade1"
	speak "wolfe.Grenade2"
	speak "wolfe.Grenade3"
	speak "wolfe.Grenade4"
	speak "wolfe.Grenade5"
}

Rule wolfe_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_wolfe
    response wolfe_CHATTER_GRENADE
}

Response vegas_CHATTER_GRENADE
{
	speak "vegas.Grenade0"
	speak "vegas.Grenade1"
	speak "vegas.Grenade2"
	speak "vegas.Grenade3"
}

Rule vegas_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_vegas
    response vegas_CHATTER_GRENADE
}

Response sarge_CHATTER_GRENADE
{
	speak "sarge.Grenade0"
	speak "sarge.Grenade1"
	speak "sarge.Grenade2"
}

Rule sarge_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_sarge
    response sarge_CHATTER_GRENADE
}

Response bastille_CHATTER_GRENADE
{
	speak "bastille.Grenade0"
	speak "bastille.Grenade1"
	speak "bastille.Grenade2"
}

Rule bastille_CHATTER_GRENADE
{
    criteria ConceptCHATTER_GRENADE Is_bastille
    response bastille_CHATTER_GRENADE
}

Response jaeger_CHATTER_STILL_BREATHING
{
	speak "jaeger.StillBreathing0"
}

Rule jaeger_CHATTER_STILL_BREATHING
{
    criteria ConceptCHATTER_STILL_BREATHING Is_jaeger
    response jaeger_CHATTER_STILL_BREATHING
}

Response wolfe_CHATTER_WILDCAT_KILL_REPLY_BEHIND
{
	speak "wolfe.WildcatKillReplyBehind0"
	speak "wolfe.WildcatKillReplyBehind1"
	speak "wolfe.WildcatKillReplyBehind2"
}

Rule wolfe_CHATTER_WILDCAT_KILL_REPLY_BEHIND
{
    criteria ConceptCHATTER_WILDCAT_KILL_REPLY_BEHIND Is_wolfe
    response wolfe_CHATTER_WILDCAT_KILL_REPLY_BEHIND
}

Response wildcat_CHATTER_WILDCAT_KILL_REPLY_BEHIND
{
	speak "wildcat.WildcatKillReplyBehind0"
	speak "wildcat.WildcatKillReplyBehind1"
}

Rule wildcat_CHATTER_WILDCAT_KILL_REPLY_BEHIND
{
    criteria ConceptCHATTER_WILDCAT_KILL_REPLY_BEHIND Is_wildcat
    response wildcat_CHATTER_WILDCAT_KILL_REPLY_BEHIND
}

Response faith_CHATTER_IDLE
{
	speak "faith.Idle0"
	speak "faith.Idle1"
	speak "faith.Idle2"
	speak "faith.Idle3"
	speak "faith.Idle4"
	speak "faith.Idle5"
	speak "faith.Idle6"
	speak "faith.Idle7"
	speak "faith.Idle8"
	speak "faith.Idle9"
	speak "faith.Idle10"
}

Rule faith_CHATTER_IDLE
{
    criteria ConceptCHATTER_IDLE Is_faith
    response faith_CHATTER_IDLE
}

Response crash_CHATTER_IDLE
{
	speak "crash.Idle0"
	speak "crash.Idle1"
	speak "crash.Idle2"
	speak "crash.Idle3"
	speak "crash.Idle4"
	speak "crash.Idle5"
}

Rule crash_CHATTER_IDLE
{
    criteria ConceptCHATTER_IDLE Is_crash
    response crash_CHATTER_IDLE
}

Response jaeger_CHATTER_IDLE
{
	speak "jaeger.Idle0"
	speak "jaeger.Idle1"
	speak "jaeger.Idle2"
	speak "jaeger.Idle3"
	speak "jaeger.Idle4"
	speak "jaeger.Idle5"
	speak "jaeger.Idle6"
	speak "jaeger.Idle7"
	speak "jaeger.Idle8"
	speak "jaeger.Idle9"
	speak "jaeger.Idle10"
	speak "jaeger.Idle11"
	speak "jaeger.Idle12"
	speak "jaeger.Idle13"
	speak "jaeger.Idle14"
}

Rule jaeger_CHATTER_IDLE
{
    criteria ConceptCHATTER_IDLE Is_jaeger
    response jaeger_CHATTER_IDLE
}

Response wolfe_CHATTER_IDLE
{
	speak "wolfe.Idle0"
	speak "wolfe.Idle1"
	speak "wolfe.Idle2"
	speak "wolfe.Idle3"
	speak "wolfe.Idle4"
	speak "wolfe.Idle5"
	speak "wolfe.Idle6"
	speak "wolfe.Idle7"
	speak "wolfe.Idle8"
}

